closest_WS,obsjul,Expected Apr - Jul,percjul,obsaug,Expected May - Aug,percaug
Labasa Airport,84.4,408.8703704, 0.21 ,73.1,182.8703704, 0.40 
Savusavu Airfield,322,669.2483131, 0.48 ,173,315.3508772, 0.55 
Penang Mill,193.4,579.005848, 0.33 ,86.8,257.7777778, 0.34 
Nadi Airport,127.9,362.9935081, 0.35 ,17.6,157.6811594, 0.11 
Laucala Bay,282.9,944.1532977, 0.30 ,147.2,432.9411765, 0.34 
Nausori Airport,443.1,876.4806875, 0.51 ,231.7,397.0704311, 0.58 
Matuku,195,514.7875817, 0.38 ,107,260.7843137, 0.41 
Lakeba,232.5,499.0498058, 0.47 ,105.5,215.0186071, 0.49 
